Material,C,Mn,P,S,Si,Ni,Cr,Mo,Fe
Steel 60 GOST 1577-93,0.331602,0.190168,0.041517,0.171486,0.335251,0,1.162506,0,97.76747
Steel 60 GOST 1577-93,0.273709,0.256631,0.00126,0.280191,0.223041,0,1.115008,0,97.850159
Steel 60 GOST 1577-93,0.297086,0.33562,0.02276,0.414822,0.330349,0,1.006072,0,97.593291
Steel 60 GOST 1577-93,0.322854,0.307487,0.009103,0.4284,0.218177,0,1.060182,0,97.653796
Steel 30Ch GOST 1577-93,0.371725,0.619333,0.028515,0.225236,0.297605,0,0.802559,0,97.655027
Steel 30Ch GOST 1577-93,0.32381,0.504699,0.004915,0.366981,0.332734,0,0.998034,0,97.468828
Steel 30Ch GOST 1577-93,0.390312,0.586532,0.018273,0.234082,0.210142,0,0.88077,0,97.679889
Steel 38ChA GOST 1577-93,0.34554,0.522111,0.016043,0.363445,0.275677,0,1.044487,0,97.432697
Steel 38ChA GOST 1577-93,0.386185,0.740752,0.010639,0.006405,0.367104,0,1.006781,0,97.482134
Steel 38ChA GOST 1577-93,0.333594,0.575191,0.021565,0.338293,0.233172,0,0.832719,0,97.665466
Steel 40Ch GOST 1577-93,0.394571,0.681421,0.008488,0.155311,0.395455,0,0.911651,0,97.453103
Steel 40Ch GOST 1577-93,0.339698,0.76116,0.014561,0.391694,0.177381,0,0.992352,0,97.323154
Steel 40Ch GOST 1577-93,0.336493,0.767427,0.008511,0.083319,0.232603,0,1.041981,0,97.529667
Steel 15L GOST 977-88,0.339369,0.57088,0.025535,0.336397,0.362223,0,1.000003,0,97.365594
Steel 20L GOST 977-88,0.294719,0.462504,0.018462,0.112679,0.207257,0.818327,0.8961,0,97.189952
Steel 25L GOST 977-88,0.206543,0.618388,0.036299,0.368871,0.369137,0.842443,0.830375,0,96.727945
Steel 30L GOST 977-88,0.193416,0.466484,0.002899,0.251017,0.321784,1.064445,0.94744,0,96.752514
Steel 35L GOST 977-88,0.243903,0.520979,0.001193,0.258209,0.359567,1.064946,0.843339,0,96.707864
Steel 40L GOST 977-88,0.219202,0.407534,0.023024,0.096565,0.203795,0.812907,1.002556,0,97.234417
Steel 45L GOST 977-88,0.349099,0.414345,0.03471,0.190565,0.298215,0.888758,1.072205,0,96.752103
Steel 50L GOST 977-88,0.189831,0.600469,0.018601,0.031406,0.337733,0.993025,0.990744,0,96.83819
Steel 20GL GOST 977-88,0.170111,0.692905,0.000382,0.340268,0.197904,1.072206,1.066067,0,96.460157
Steel 35GL GOST 977-88,0.229611,0.633664,0.020943,0.306037,0.355651,1.025035,0.88886,0,96.540198
Steel 35GL GOST 977-88,0.337337,0.630081,0.005153,0.357209,0.368355,0.84151,0.912352,0,96.548002
Steel 20GSL GOST 977-88,0.172537,0.550258,0.115926,0.074378,0.342496,0,1.063014,0,97.681392
Steel 30GSL GOST 977-88,0.136651,0.543984,0.289504,0.105552,0.339471,0,0.942093,0,97.642745
Steel 30GSL GOST 977-88,0.121302,0.514154,0.254858,0.022857,0.373355,0,0.910241,0,97.803233
Steel 20G1FL GOST 977-88,0.154969,0.559101,0.073191,0.156648,0.155907,0,0.921222,0,97.978962
Steel 20FL GOST 977-88,0.122233,0.589672,0.107917,0.13001,0.199255,0,1.075592,0,97.775322
Steel 30ChGSFL GOST 977-88,0.150093,0.4694,0.232985,0.364369,0.197762,0,0.816369,0,97.769023
Steel 45FL GOST 977-88,0.159728,0.509186,0.212145,0.067753,0.289816,0,0.880757,0,97.880615
Steel 20ChML GOST 977-88,0.125553,0.48519,0.054293,0.313,0.341956,0,0.884183,0,97.795825
Steel 20ChMFL GOST 977-88,0.12379,0.443244,0.199657,0.019489,0.271121,0,0.818186,0,98.124513
Steel 20GNMFL GOST 977-88,0.177762,0.401831,0.100746,0.19888,0.320205,0,1.031332,0,97.769244
Steel 35ChML GOST 977-88,0.3324,0.248336,0.003298,0.282444,0.232375,0,1.157168,0,97.743979
Steel 30ChNML GOST 977-88,0.292627,0.173664,0.036513,0.108992,0.189953,0,0.929391,0,98.26886
Steel 35ChGSL GOST 977-88,0.33364,0.19934,0.043462,0.354308,0.336326,0,1.143866,0,97.589059
Steel 35ChGSL GOST 977-88,0.34953,0.320716,0.020216,0.241485,0.29088,0,1.032014,0,97.74516
Steel 20DChL GOST 977-88,0.292434,0.359891,0.044134,0.265898,0.210229,0,0.98412,0,97.843293
Steel 08GDNFL GOST 977-88,0.278698,0.350335,0.012592,0.002016,0.317703,0,1.119089,0,97.919568
Steel 13ChNDFTL GOST 977-88,0.331602,0.190168,0.041517,0.171486,0.335251,0,1.162506,0,97.76747
Steel 12DN2FL GOST 977-88,0.273709,0.256631,0.00126,0.280191,0.223041,0,1.115008,0,97.850159
Steel 25L GOST 977-88,0.297086,0.33562,0.02276,0.414822,0.330349,0,1.006072,0,97.593291
Steel 30L GOST 977-88,0.322854,0.307487,0.009103,0.4284,0.218177,0,1.060182,0,97.653796
Steel 35L GOST 977-88,0.371725,0.619333,0.028515,0.225236,0.297605,0,0.802559,0,97.655027
Steel 40L GOST 977-88,0.32381,0.504699,0.004915,0.366981,0.332734,0,0.998034,0,97.468828
Steel 45L GOST 977-88,0.390312,0.586532,0.018273,0.234082,0.210142,0,0.88077,0,97.679889
Steel 50L GOST 977-88,0.34554,0.522111,0.016043,0.363445,0.275677,0,1.044487,0,97.432697
Steel 20GL GOST 977-88,0.386185,0.740752,0.010639,0.006405,0.367104,0,1.006781,0,97.482134
Steel 35GL GOST 977-88,0.333594,0.575191,0.021565,0.338293,0.233172,0,0.832719,0,97.665466
Steel 30GSL GOST 977-88,0.394571,0.681421,0.008488,0.155311,0.395455,0,0.911651,0,97.453103
Steel 30ChGSFL GOST 977-88,0.339698,0.76116,0.014561,0.391694,0.177381,0,0.992352,0,97.323154
Steel 30ChGSFL GOST 977-88,0.336493,0.767427,0.008511,0.083319,0.232603,0,1.041981,0,97.529667
Steel 45FL GOST 977-88,0.339369,0.57088,0.025535,0.336397,0.362223,0,1.000003,0,97.365594
Steel 32Ch06L GOST 977-88,0.6274,1.087236,0.000465,0.144151,0.2878,0,0,0,97.852948
Steel 20GNMFL GOST 977-88,0.678902,1.168328,0.017196,0.136141,0.228121,0,0,0,97.771313
Steel 35ChML GOST 977-88,0.639022,0.937935,0.033851,0.326239,0.267055,0,0,0,97.795898
Steel 30ChNML GOST 977-88,0.699846,0.997074,0.007539,0.126651,0.27932,0,0,0,97.88957
Steel 35ChGSL GOST 977-88,0.686948,1.124253,0.02042,0.091776,0.203189,0,0,0,97.873413
Steel 35NGML GOST 977-88,0.645377,1.146234,0.006449,0.032842,0.326419,0,0,0,97.842678
Steel 20DChL GOST 977-88,0.681923,0.975935,0.002996,0.336508,0.295083,0,0,0,97.707555
Steel 12DN2FL GOST 977-88,0.653438,1.118203,0.026519,0.271826,0.303706,0,0,0,97.626308
Steel 12DChN1MFL GOST 977-88,0.676012,0.984575,0.006105,0.042373,0.298595,0,0,0,97.992339
Steel 23ChGS2MFL GOST 977-88,0.623233,1.049398,0.033681,0.079831,0.232375,0,0,0,97.981483
Steel 12Ch7G3SL GOST 977-88,0.623838,0.958059,0.022943,0.160109,0.330243,0,0,0,97.904809
Steel 25Ch2GNMFL1 GOST 977-88,0.695878,1.024884,0.023569,0.332987,0.254183,0,0,0,97.668499
Steel 25Ch2GNMFL2 GOST 977-88,0.674965,1.187104,0.006335,0.135172,0.234513,0,0,0,97.761911
Steel 27Ch5GSML GOST 977-88,0.679483,1.172482,0.021339,0.277165,0.19683,0,0,0,97.652701
Steel 30Ch3S3GML GOST 977-88,0.663549,1.179976,0.023811,0.166499,0.198943,0,0,0,97.767222
Steel 03N12Ch5M3TL GOST 977-88,0.628664,1.023244,0.002189,0.164398,0.208007,0,0,0,97.973497
Steel 03N12Ch5M3TJuL GOST 977-88,0.650185,1.057457,0.000745,0.283642,0.212863,0,0,0,97.795109
Steel 40ChL GOST 977-88,0.625311,1.138021,0.006352,0.271865,0.33244,0,0,0,97.626012
Steel 50ChFA GOST 14959-79,0.673375,1.186768,0.020179,0.120198,0.218632,0,0,0,97.780848
Steel 55S2 GOST 14959-79,0.67072,0.926126,0.000629,0.303614,0.231225,0,0,0,97.867685
Steel 50ChGA GOST 14959-79,0.682459,1.050873,0.005117,0.098872,0.361017,0,0,0,97.801662
Steel 50ChGFA GOST 14959-79,0.675566,1.175005,0.0127,0.117094,0.319376,0,0,0,97.700259
